rank,word,count,freq_per_million
813,placed,276,137.96806
814,outside,276,137.96806
815,bishop,276,137.96806
816,presence,276,137.96806
817,bridge,275,137.468176
818,overall,275,137.468176
819,bay,275,137.468176
820,prior,275,137.468176
821,mid,274,136.968292
822,active,274,136.968292
823,provided,274,136.968292
824,competition,274,136.968292
825,noted,273,136.468408
826,super,272,135.968523
827,groups,272,135.968523
828,sources,272,135.968523
829,trade,272,135.968523
830,anti,272,135.968523
831,leader,272,135.968523
832,mount,272,135.968523
833,campaign,269,134.46887
834,our,269,134.46887
835,self,269,134.46887
836,dutch,269,134.46887
837,brown,268,133.968986
838,global,268,133.968986
839,lim,268,133.968986
840,governor,267,133.469102
841,decision,267,133.469102
842,possible,267,133.469102
843,location,267,133.469102
844,characters,266,132.969218
845,individual,266,132.969218
846,runs,265,132.469333
847,mountain,265,132.469333
848,significant,265,132.469333
849,spent,265,132.469333
850,below,265,132.469333
851,almost,264,131.969449
852,bank,264,131.969449
853,dr,263,131.469565
854,towards,263,131.469565
855,especially,263,131.469565
856,baseball,263,131.469565
857,decided,263,131.469565
858,reception,262,130.969681
859,drive,262,130.969681
860,table,262,130.969681
861,ticket,262,130.969681
862,navy,261,130.469796
863,parts,261,130.469796
864,size,261,130.469796
865,regional,260,129.969912
866,angeles,260,129.969912
867,already,260,129.969912
868,goals,260,129.969912
869,loss,260,129.969912
870,provide,260,129.969912
871,buildings,260,129.969912
872,subsequently,259,129.470028
873,whose,259,129.470028
874,administration,259,129.470028
875,corps,259,129.470028
876,feature,258,128.970143
877,jane,258,128.970143
878,mark,258,128.970143
879,associated,258,128.970143
880,digital,258,128.970143
881,sir,258,128.970143
882,minor,258,128.970143
883,background,257,128.470259
884,goal,257,128.470259
885,commercial,257,128.470259
886,owned,257,128.470259
887,article,256,127.970375
888,text,256,127.970375
889,legal,256,127.970375
890,secretary,256,127.970375
891,province,255,127.470491
892,highway,255,127.470491
893,specific,254,126.970606
894,too,254,126.970606
895,draft,254,126.970606
896,primary,254,126.970606
897,albanian,254,126.970606
898,successful,253,126.470722
899,volume,253,126.470722
900,chart,253,126.470722
901,mission,253,126.470722
902,border,253,126.470722
903,course,253,126.470722
904,champion,253,126.470722
905,student,252,125.970838
906,train,252,125.970838
907,stars,252,125.970838
908,olympics,252,125.970838
909,food,252,125.970838
910,actor,251,125.470953
911,cases,251,125.470953
912,represented,251,125.470953
913,give,251,125.470953
914,hit,251,125.470953
915,ministry,251,125.470953
916,biography,250,124.971069
917,child,250,124.971069
918,cities,250,124.971069
919,mayor,250,124.971069
920,soon,250,124.971069
921,itself,250,124.971069
922,officers,250,124.971069
923,wide,249,124.471185
924,shows,248,123.971301
925,source,248,123.971301
926,far,248,123.971301
927,plays,247,123.471416
928,move,247,123.471416
929,ever,247,123.471416
930,issues,247,123.471416
931,reading,247,123.471416
932,create,247,123.471416
933,shown,247,123.471416
934,don't,247,123.471416
935,shot,247,123.471416
936,vote,246,122.971532
937,billion,246,122.971532
938,annual,246,122.971532
939,chicago,245,122.471648
940,tax,245,122.471648
941,democratic,244,121.971764
942,taking,244,121.971764
943,marriage,244,121.971764
944,duke,244,121.971764
945,zealand,243,121.471879
946,alongside,243,121.471879
947,engine,243,121.471879
948,approximately,243,121.471879
949,thought,243,121.471879
950,changes,243,121.471879
951,frac,243,121.471879
952,captain,242,120.971995
953,complete,242,120.971995
954,youth,242,120.971995
955,lived,242,120.971995
956,islamic,242,120.971995
957,prize,241,120.472111
958,imdb,241,120.472111
959,assembly,241,120.472111
960,required,241,120.472111
961,vice,241,120.472111
962,author,240,119.972226
963,double,240,119.972226
964,today,240,119.972226
965,room,240,119.972226
966,generally,240,119.972226
967,length,239,119.472342
968,running,239,119.472342
969,older,239,119.472342
970,success,239,119.472342
971,van,239,119.472342
972,defeated,239,119.472342
973,policy,239,119.472342
974,hand,238,118.972458
975,attended,238,118.972458
976,cover,238,118.972458
977,interest,238,118.972458
978,expansion,238,118.972458
979,wales,238,118.972458
980,roll,238,118.972458
981,strong,237,118.472574
982,practice,237,118.472574
983,conditions,237,118.472574
984,lord,236,117.972689
985,female,236,117.972689
986,activities,236,117.972689
987,highest,236,117.972689
988,aircraft,236,117.972689
989,nine,236,117.972689
990,blood,236,117.972689
991,opening,235,117.472805
992,scored,235,117.472805
993,economic,235,117.472805
994,winter,235,117.472805
995,nfl,235,117.472805
996,master,234,116.972921
997,find,234,116.972921
998,experience,234,116.972921
999,hours,234,116.972921
1000,stadium,234,116.972921
1001,here,234,116.972921
1002,complex,234,116.972921
1003,islands,234,116.972921
1004,presented,233,116.473036
1005,movie,233,116.473036
1006,nature,233,116.473036
1007,uses,233,116.473036
1008,changed,233,116.473036
1009,turn,233,116.473036
1010,launched,232,115.973152
1011,whom,232,115.973152
1012,murong,232,115.973152
1013,ended,231,115.473268
1014,rugby,231,115.473268
1015,houses,231,115.473268
1016,attack,231,115.473268
1017,musical,231,115.473268
1018,relationship,230,114.973384
1019,defense,230,114.973384
1020,fight,230,114.973384
1021,test,230,114.973384
1022,squadron,230,114.973384
1023,saw,229,114.473499
1024,evidence,229,114.473499
1025,operations,229,114.473499
1026,congress,229,114.473499
1027,zone,229,114.473499
1028,word,228,113.973615
1029,technical,228,113.973615
1030,believed,228,113.973615
1031,era,228,113.973615
1032,past,228,113.973615
1033,closed,228,113.973615
1034,producer,227,113.473731
1035,month,227,113.473731
1036,date,227,113.473731
1037,upper,227,113.473731
1038,iron,227,113.473731
1039,ai,226,112.973847
1040,longer,226,112.973847
1041,journal,226,112.973847
1042,hill,226,112.973847
1043,families,226,112.973847
1044,map,226,112.973847
1045,irish,225,112.473962
1046,plan,225,112.473962
1047,critical,225,112.473962
1048,electoral,225,112.473962
1049,martin,224,111.974078
1050,particularly,224,111.974078
1051,theory,224,111.974078
1052,capital,224,111.974078
1053,ship,223,111.474194
1054,page,223,111.474194
1055,brought,223,111.474194
1056,religious,223,111.474194
1057,takes,222,110.974309
1058,feet,221,110.474425
1059,met,221,110.474425
1060,passed,220,109.974541
1061,person,220,109.974541
1062,individuals,220,109.974541
1063,heart,219,109.474657
1064,ran,219,109.474657
1065,victory,219,109.474657
1066,becoming,219,109.474657
1067,therefore,219,109.474657
1068,minutes,218,108.974772
1069,financial,218,108.974772
1070,appearance,218,108.974772
1071,cars,218,108.974772
1072,starting,218,108.974772
1073,larger,218,108.974772
1074,online,218,108.974772
1075,scale,218,108.974772
1076,earth,217,108.474888
1077,plant,217,108.474888
1078,access,217,108.474888
1079,increase,217,108.474888
1080,offered,217,108.474888
1081,need,216,107.975004
1082,edward,216,107.975004
1083,parish,216,107.975004
1084,whole,215,107.47512
1085,elections,215,107.47512
1086,majority,215,107.47512
1087,literature,215,107.47512
1088,et,215,107.47512
1089,singles,215,107.47512
1090,jack,215,107.47512
1091,editor,214,106.975235
1092,pacific,214,106.975235
1093,names,214,106.975235
1094,studied,213,106.475351
1095,le,213,106.475351
1096,mm,213,106.475351
1097,seasons,213,106.475351
1098,latin,212,105.975467
1099,hockey,212,105.975467
1100,friends,212,105.975467
1101,carolina,212,105.975467
1102,racing,212,105.975467
1103,forms,211,105.475582
1104,view,211,105.475582
1105,always,211,105.475582
1106,alexander,211,105.475582
1107,host,211,105.475582
1108,nba,211,105.475582
1109,sister,210,104.975698
1110,variety,210,104.975698
1111,husband,210,104.975698
1112,iii,210,104.975698
1113,philadelphia,210,104.975698
1114,affairs,210,104.975698
1115,drama,209,104.475814
1116,operated,209,104.475814
1117,status,209,104.475814
1118,personnel,209,104.475814
1119,spring,209,104.475814
1120,rural,209,104.475814
1121,caused,208,103.97593
1122,jones,208,103.97593
1123,retrieved,208,103.97593
1124,municipality,208,103.97593
1125,going,208,103.97593
1126,property,208,103.97593
1127,entire,208,103.97593
1128,energy,207,103.476045
1129,electric,207,103.476045
1130,fall,207,103.476045
1131,footballer,207,103.476045
1132,tracks,207,103.476045
1133,earlier,207,103.476045
1134,programs,207,103.476045
1135,retired,207,103.476045
1136,computer,207,103.476045
1137,parliament,207,103.476045
1138,platform,206,102.976161
1139,el,206,102.976161
1140,bass,206,102.976161
1141,emperor,206,102.976161
1142,contains,206,102.976161
1143,manager,206,102.976161
1144,nations,206,102.976161
1145,chairman,206,102.976161
1146,income,206,102.976161
1147,dance,205,102.476277
1148,true,205,102.476277
1149,entered,205,102.476277
1150,pennsylvania,205,102.476277
1151,assistant,205,102.476277
1152,key,204,101.976392
1153,acquired,204,101.976392
1154,capacity,204,101.976392
1155,remains,203,101.476508
1156,levels,203,101.476508
1157,revolution,202,100.976624
1158,recording,202,100.976624
1159,leave,202,100.976624
1160,academic,202,100.976624
1161,justice,202,100.976624
1162,care,202,100.976624
1163,intelligence,201,100.47674
1164,earned,201,100.47674
1165,elizabeth,201,100.47674
1166,remaining,201,100.47674
